year,stockID,per
2024,1436,11.27666667
2014,1437,20.235
2015,1437,28.4225
2016,1437,11.2625
2017,1437,9.7875
2018,1437,13.705
2019,1437,7.2375
2020,1437,8.94
2021,1437,12.1075
2022,1437,12.2175
2023,1437,11.6675
2024,1437,11.81
2014,1438,164.5
2015,1438,70.1825
2016,1438,138.21
2020,1438,105.285
2021,1438,58.1025
2022,1438,10.73
2023,1438,20.20333333
2014,1439,1427.5
2015,1439,1438.75
2016,1439,103.265
2017,1439,488.5
2019,1439,7.235
2020,1439,19.56666667
2021,1439,38.305
2022,1439,16.89
2023,1439,13.95
2024,1439,14.64333333
2014,1440,63.19
2015,1440,27.83
2016,1440,26.4075
2017,1440,33.7225
2018,1440,22.9
2019,1440,71.9525
2020,1440,32.925
2021,1440,19.9125
2022,1440,18.0575
2023,1440,15.5575
2024,1440,11.56
2018,1441,72.41
2019,1441,6.746666667
2014,1442,13.49
2015,1442,9.29
2016,1442,8.765
2017,1442,9.7575
2018,1442,22.0325
2019,1442,47.6625
2020,1442,63.5
2021,1442,23.355
2022,1442,16.685
2023,1442,10.035
2024,1442,10.71333333
2019,1443,481.5
2021,1443,26.3025
2022,1443,11.055
2023,1443,20.245
2024,1443,19.21333333
2014,1444,40.325
2015,1444,27.315
2016,1444,58.3575
2017,1444,494.8333333
2018,1444,54.18
2019,1444,71.755
2021,1444,46.03333333
2022,1444,18.585
2023,1444,66.125
2024,1444,119.4
2014,1445,44
2015,1445,21.7025
2016,1445,18.1875
2017,1445,49.525
2018,1445,334.8
2022,1445,747.9
2023,1445,4.9475
2024,1445,2.3
2014,1446,312.5
2015,1446,5830
2016,1446,96.93666667
2017,1446,170.715
2023,1446,87.27666667
2024,1446,20.17333333
2014,1447,27.68
2015,1447,141.8575
2018,1447,73.215
2019,1447,110.9
2021,1447,68.815
2022,1447,91.54
2014,1449,5.73
2017,1449,11.6
2018,1449,47.07
2021,1449,40.86
2022,1449,13.2475
2023,1449,24.04
2024,1449,22.90666667
2014,1451,15.545
2015,1451,14.1475
2016,1451,13.585
2017,1451,20.885
2018,1451,15.7725
2019,1451,48.75666667
2021,1451,35.975
2022,1451,12.3875
2023,1451,78.58
2014,1452,9.445
2015,1452,12.8325
2016,1452,10.9725
2017,1452,14.7225
2018,1452,12.7475
2019,1452,14.06
2020,1452,17.895
2021,1452,12.99
2022,1452,13.4075
2023,1452,30.68
2024,1452,25.85666667
2015,1453,99.54666667
2016,1453,59.96
2018,1453,6.2825
2019,1453,7.476666667
2020,1453,59.6
2021,1453,14.1425
2022,1453,49.37333333
2023,1453,109.4975
2024,1453,31.29333333
2014,1454,15.45
2015,1454,15.185
2016,1454,16.7
2017,1454,39.5125
2018,1454,55.9875
2019,1454,35.6175
2020,1454,59.4
2021,1454,373.8
2022,1454,87.55
2023,1454,84.24
2024,1454,61.32333333
2014,1455,99.605
2015,1455,65.54
2016,1455,29.76
2017,1455,21.845
2018,1455,37.5
2021,1455,21.51
2022,1455,100.2766667
2024,1455,72.5
2015,1456,4.25
2016,1456,12.2
2017,1456,24.6825
2018,1456,39.01
2019,1456,45.25
2020,1456,19.825
2021,1456,7.17
2022,1456,13.59333333
2023,1456,337
2024,1456,134.5
2014,1457,24.46
2015,1457,11.045
2016,1457,18.6675
2017,1457,8.1775
2018,1457,6.1475
2019,1457,10.2425
2020,1457,6.34
2021,1457,13.1175
2022,1457,6.4575
2023,1457,5.6625
2024,1457,7.943333333
2014,1459,17.86
2015,1459,19.1825
