year,stockID,roa
2015,1309,0.67
2014,1309,-5.4
2013,1309,0.16
2012,1309,-0.38
2011,1309,2.82
2010,1309,5.78
2009,1309,6.15
2008,1309,-16.7
2023,1310,-4.93
2022,1310,-3.65
2021,1310,1.15
2020,1310,3.16
2019,1310,8.9
2018,1310,11.1
2017,1310,8.67
2016,1310,11.2
2015,1310,5.39
2014,1310,-0.49
2013,1310,9.32
2012,1310,-4.25
2011,1310,-7.34
2010,1310,0.76
2009,1310,5.59
2008,1310,-7.17
2023,1312,-2.38
2022,1312,-0.83
2021,1312,14.3
2020,1312,12.7
2019,1312,7.09
2018,1312,10.9
2017,1312,13
2016,1312,10.7
2015,1312,6.95
2014,1312,1.99
2013,1312,8.85
2012,1312,8.46
2011,1312,5.94
2010,1312,10.1
2009,1312,11.8
2008,1312,-8.84
2023,1313,-0.53
2022,1313,-2.37
2021,1313,4.38
2020,1313,4.78
2019,1313,-0.31
2018,1313,1.66
2017,1313,5.75
2016,1313,2.97
2015,1313,-0.43
2014,1313,-0.55
2013,1313,1.36
2012,1313,2.96
2011,1313,2.79
2010,1313,8.16
2009,1313,5.17
2008,1313,0.3
2023,1314,-0.75
2022,1314,0.17
2021,1314,3.32
2020,1314,0.67
2019,1314,1.86
2018,1314,5
2017,1314,7.7
2016,1314,-2.47
2015,1314,0.11
2014,1314,0.4
2013,1314,9.02
2012,1314,3.17
2011,1314,21.9
2010,1314,14.3
2009,1314,4.83
2008,1314,-7.14
2023,1315,3.06
2022,1315,5.86
2021,1315,0.05
2020,1315,47.2
2019,1315,7.05
2018,1315,2.37
2017,1315,1.76
2016,1315,3.27
2015,1315,2.69
2014,1315,2.41
2013,1315,1.81
2012,1315,1.92
2011,1315,7.43
2010,1315,2.49
2009,1315,1.46
2008,1315,4.04
2023,1316,-1.22
2022,1316,0.5
2021,1316,-0.32
2020,1316,0.92
2019,1316,-1.16
2018,1316,4.45
2017,1316,7.42
2016,1316,-2.68
2015,1316,-3.66
2014,1316,-1.2
2013,1316,-8.23
2012,1316,-6.4
2011,1316,-2.77
2010,1316,-1.99
2009,1316,-0.45
2008,1316,-1.39
2023,1319,8.89
2022,1319,5.99
2021,1319,1.82
2020,1319,2.04
2019,1319,4.99
2018,1319,5.16
2017,1319,6.46
2016,1319,6.82
2015,1319,4.89
2014,1319,2.89
2013,1319,4.67
2012,1319,2.62
2011,1319,4.67
2010,1319,5.53
2009,1319,7.33
2008,1319,2.02
2023,1321,1.55
2022,1321,-0.33
2021,1321,2.54
2020,1321,6.02
2019,1321,1.01
2018,1321,-0.64
2017,1321,-0.75
2016,1321,-0.14
2015,1321,0.37
2014,1321,-1.55
2013,1321,0.15
2012,1321,-1.34
2011,1321,-2.51
2010,1321,-2.96
2009,1321,1.78
2008,1321,-5.93
2023,1323,3.24
2022,1323,5.13
2021,1323,6.12
2020,1323,6.66
2019,1323,7.54
2018,1323,8.89
2017,1323,8.14
2016,1323,9.1
2015,1323,7.83
2014,1323,9.43
2013,1323,8.8
2012,1323,7.17
2011,1323,6.48
2010,1323,8.15
2009,1323,5.45
2008,1323,3.56
2023,1324,3.3
2022,1324,0.4
2021,1324,0.05
2020,1324,1.33
2019,1324,0.25
2018,1324,0.09
2017,1324,4.41
2016,1324,4.91
2015,1324,4.42
2014,1324,3.2
2013,1324,3.24
2012,1324,2.62
2011,1324,5.41
2010,1324,4.44
2009,1324,6.28
2008,1324,3.07
2023,1325,0.43
2022,1325,0.43
2021,1325,7.07
2020,1325,61.9
2019,1325,1.83
2018,1325,3.15
2017,1325,2.05
2016,1325,5.44
2015,1325,4.69
2014,1325,2.7
2013,1325,3.42
2012,1325,3.54
2011,1325,5.77
2010,1325,7.57
2009,1325,10.3
2008,1325,8.35
2023,1326,1.37
2022,1326,1.6
2021,1326,7.56
2020,1326,3.98
2019,1326,6.03
2018,1326,9.53
2017,1326,10.8
2016,1326,9.22
2015,1326,6.06
2014,1326,2.65
2013,1326,5.26
2012,1326,1.75
2011,1326,7.2
2010,1326,11.1
2009,1326,7.07
2008,1326,1.68
2023,1337,-8.53
2022,1337,-9.02
2021,1337,-7.66
2020,1337,-18.6
2019,1337,-8.01
2018,1337,-19.6
2017,1337,1.66
2016,1337,3.63
2015,1337,3.4
2014,1337,9.4
2013,1337,11.2
2012,1337,17.5
2011,1337,24.4
2010,1337,30.2
2023,1338,-1.52
2022,1338,1.14
2021,1338,3.18
2020,1338,2.81
2019,1338,3.91
2018,1338,4.98
2017,1338,7.71
2016,1338,6.77
2015,1338,8.4
2014,1338,7.45
2013,1338,6.2
2012,1338,5.41
2011,1338,13
2010,1338,15.8
2009,1338,0.49
2023,1339,7.89
2022,1339,7.57
2021,1339,2.47
2020,1339,2.25
2019,1339,6.39
2018,1339,4.43
2017,1339,4.14
2016,1339,5.28
2015,1339,8.31
2014,1339,10.1
2013,1339,7.85
2012,1339,6.31
2023,1340,-19.4
2022,1340,-8.65
2021,1340,-9.56
2020,1340,-6.67
2019,1340,-6.79
2018,1340,1.95
2017,1340,12.4
2016,1340,13.7
2015,1340,14.3
2014,1340,19.6
2013,1340,23.6
2012,1340,17.1
2011,1340,29.7
2010,1340,28.8
2023,1341,10.1
2022,1341,12.5
2021,1341,13.3
2020,1341,14.6
2019,1341,12.7
2018,1341,8.04
2017,1341,17.4
2016,1341,30.6
2015,1341,34.4
2023,1342,17
2022,1342,18.5
2021,1342,12.2
2020,1342,11.2
2019,1342,12.7
2018,1342,12.1
2023,1402,2.3
2022,1402,2.06
2021,1402,2.37
2020,1402,2.18
2019,1402,2.88
2018,1402,3.4
2017,1402,2.76
2016,1402,2.46
2015,1402,2.89
2014,1402,3.51
2013,1402,5.14
2012,1402,3.34
2011,1402,5.68
2010,1402,7.1
2009,1402,5.43
2008,1402,3.8
2023,1409,0.62
2022,1409,1.92
2021,1409,2.6
2020,1409,2.2
2019,1409,1.5
2018,1409,1.99
2017,1409,0.82
2016,1409,0.73
2015,1409,0.63
2014,1409,1.36
2013,1409,1.44
2012,1409,1.06
2011,1409,1.62
2010,1409,2.69
2009,1409,1.21
2008,1409,-0.05
2023,1410,0.97
2022,1410,4
2021,1410,6.23
2020,1410,4.54
2019,1410,4.58
2018,1410,7.29
2017,1410,6.64
2016,1410,8.43
2015,1410,8.49
2014,1410,7.04
2013,1410,6.1
2012,1410,7.6
2011,1410,6.28
2010,1410,6.29
2009,1410,-0.6
2008,1410,0.5
2023,1413,-5.3
2022,1413,3.6
2021,1413,3.82
2020,1413,-5.9
2019,1413,2.69
2018,1413,10.4
