StockID,Year,PER
1234,24Q1,17.26
1234,23Q4,17.16
1234,23Q3,16.49
1234,23Q2,18.05
1234,23Q1,15.97
1234,22Q4,14.75
1234,22Q3,15.4
1234,22Q2,16.61
1234,22Q1,17.42
1234,21Q4,18.03
1234,21Q3,16.72
1234,21Q2,16.95
1234,21Q1,16.02
1234,20Q4,14.84
1234,20Q3,14.71
1234,20Q2,15.24
1234,20Q1,13.99
1234,19Q4,15.43
1234,19Q3,15.53
1234,19Q2,17.11
1234,19Q1,17.42
1234,18Q4,17.31
1234,18Q3,18.84
1234,18Q2,20.65
1234,18Q1,21.56
1234,17Q4,23.3
1234,17Q3,18.29
1234,17Q2,16.37
1234,17Q1,14.02
1234,16Q4,11.75
1234,16Q3,13.18
1234,16Q2,15.22
1234,16Q1,19.16
1234,15Q4,20.36
1234,15Q3,22.39
1234,15Q2,28.89
1234,15Q1,33.84
1234,14Q4,38.57
1234,14Q3,34.95
1235,24Q3,113.8
1235,24Q2,88.35
1235,24Q1,74.32
1235,23Q4,71.18
1235,23Q3,68.55
1235,23Q2,68.22
1235,23Q1,55.67
1235,22Q4,52.6
1235,22Q3,53.5
1235,22Q2,54.81
1235,22Q1,47.01
1235,21Q4,53.95
1235,21Q3,45.45
1235,21Q2,45.21
1235,21Q1,42.25
1235,20Q4,39.54
1235,20Q3,40.57
1235,20Q2,44.82
1235,20Q1,44.53
1235,19Q4,43.78
1235,19Q3,41.84
1235,19Q2,32.7
1235,19Q1,26.93
1235,18Q4,20.56
1235,18Q3,18.17
1235,18Q2,11.98
1235,18Q1,8.12
1235,17Q4,7.16
1235,17Q3,6.89
1235,17Q2,6.46
1235,17Q1,6.63
1235,16Q4,7.76
1235,16Q3,9.11
1235,16Q2,10.17
1235,16Q1,14.75
1235,15Q4,23.94
1235,15Q3,21.36
1235,15Q2,20.73
1235,15Q1,28.46
1235,14Q4,27.53
1235,14Q3,32.53
1236,24Q3,106.7
1236,24Q2,120
1236,24Q1,128.2
1236,23Q4,149.1
1236,23Q3,18.77
1236,23Q2,11.65
1236,23Q1,8.16
1236,22Q4,5.74
1236,22Q3,7.2
1236,22Q2,15.85
1236,22Q1,33.92
1236,21Q4,
1236,21Q3,
1236,21Q2,
1236,21Q1,
1236,20Q4,
1236,20Q3,354.7
1236,20Q2,165.3
1236,20Q1,92.44
1236,19Q4,91.33
1236,19Q3,90.88
1236,19Q2,100.4
1236,19Q1,114.5
1236,18Q4,114.2
1236,18Q3,156.1
1236,18Q2,199.4
1236,18Q1,260
1236,17Q4,348
1236,17Q3,80.95
1236,17Q2,46.49
1236,17Q1,34.25
1236,16Q4,26.67
1236,16Q3,25.71
1236,16Q2,24.54
1236,16Q1,23.76
1236,15Q4,22.87
1236,15Q3,19.18
1236,15Q2,19.88
1236,15Q1,18.35
1236,14Q4,15.68
1236,14Q3,16.52
1256,24Q3,12.93
1256,24Q2,16.16
1256,24Q1,19.02
1256,23Q4,19.46
1256,23Q3,22.05
1256,23Q2,25.4
1256,23Q1,27.61
1256,22Q4,22.78
1256,22Q3,16.26
1256,22Q2,16.68
1256,22Q1,15.68
1256,21Q4,15.21
1256,21Q3,17.62
1256,21Q2,20.08
1256,21Q1,19.69
1256,20Q4,12.79
1256,20Q3,12.68
1256,20Q2,10.67
1256,20Q1,9.83
1256,19Q4,13.61
1256,19Q3,11.98
1256,19Q2,12.6
1256,19Q1,11.88
1256,18Q4,9.72
1256,18Q3,11.8
1256,18Q2,14.53
1256,18Q1,14.15
1256,17Q4,14.39
1256,17Q3,14.49
1256,17Q2,14.98
1256,17Q1,16.89
1256,16Q4,14.67
1256,16Q3,17.92
1256,16Q2,13.47
1256,16Q1,15.62
1256,15Q4,17.2
1256,15Q3,17.27
1256,15Q2,22.83
1256,15Q1,22.84
1256,14Q4,20.51
1256,14Q3,21.73
1301,24Q3,64.29
1301,24Q2,60.95
1301,24Q1,65.83
1301,23Q4,68.87
1301,23Q3,34.96
1301,23Q2,25.1
1301,23Q1,20.19
1301,22Q4,15.28
1301,22Q3,12.26
1301,22Q2,12.85
1301,22Q1,10.84
1301,21Q4,9.28
1301,21Q3,12.34
1301,21Q2,14.35
1301,21Q1,19.55
1301,20Q4,30.6
1301,20Q3,20.54
1301,20Q2,19.45
1301,20Q1,14.49
1301,19Q4,17.03
1301,19Q3,14.91
1301,19Q2,16.79
1301,19Q1,15
1301,18Q4,12.98
1301,18Q3,15.05
1301,18Q2,14.48
1301,18Q1,13.39
1301,17Q4,12.72
1301,17Q3,12.46
1301,17Q2,13.29
1301,17Q1,13.75
1301,16Q4,14.41
1301,16Q3,13.29
1301,16Q2,14.09
1301,16Q1,15.39
1301,15Q4,15.88
1301,15Q3,15.99
1301,15Q2,18.96
1301,15Q1,22.86
1301,14Q4,25.73
1301,14Q3,25.66
1303,24Q3,49.84
1303,24Q2,54.78
1303,24Q1,65.88
1303,23Q4,83.13
1303,23Q3,41.3
1303,23Q2,29.9
1303,23Q1,23.94
1303,22Q4,17.53
1303,22Q3,11.95
1303,22Q2,11.61
1303,22Q1,10.71
1303,21Q4,8.33
1303,21Q3,10.77
1303,21Q2,12.34
1303,21Q1,15.98
1303,20Q4,22.19
1303,20Q3,18.84
1303,20Q2,21.01
1303,20Q1,18.28
1303,19Q4,25.02
1303,19Q3,18.13
1303,19Q2,16.44
1303,19Q1,13.81
1303,18Q4,11.35
1303,18Q3,12.65
1303,18Q2,12.9
1303,18Q1,11.97
1303,17Q4,11.34
1303,17Q3,11.21
1303,17Q2,11.59
1303,17Q1,11.35
1303,16Q4,11.56
1303,16Q3,10.79
1303,16Q2,11.44
1303,16Q1,13.75
1303,15Q4,13.56
