StockID,Year,ROA
1319,2022,5.99
1319,2021,1.82
1319,2020,2.04
1319,2019,4.99
1319,2018,5.16
1319,2017,6.46
1319,2016,6.82
1319,2015,4.89
1319,2014,2.89
1319,2013,4.67
1319,2012,2.62
1319,2011,4.67
1319,2010,5.53
1319,2009,7.33
1319,2008,2.02
1321,24Q2,3.14
1321,2023,1.55
1321,2022,-0.33
1321,2021,2.54
1321,2020,6.02
1321,2019,1.01
1321,2018,-0.64
1321,2017,-0.75
1321,2016,-0.14
1321,2015,0.37
1321,2014,-1.55
1321,2013,0.15
1321,2012,-1.34
1321,2011,-2.51
1321,2010,-2.96
1321,2009,1.78
1321,2008,-5.93
1323,24Q2,3.37
1323,2023,3.24
1323,2022,5.13
1323,2021,6.12
1323,2020,6.66
1323,2019,7.54
1323,2018,8.89
1323,2017,8.14
1323,2016,9.1
1323,2015,7.83
1323,2014,9.43
1323,2013,8.8
1323,2012,7.17
1323,2011,6.48
1323,2010,8.15
1323,2009,5.45
1323,2008,3.56
1324,24Q1,0.08
1324,2023,3.3
1324,2022,0.4
1324,2021,0.05
1324,2020,1.33
1324,2019,0.25
1324,2018,0.09
1324,2017,4.41
1324,2016,4.91
1324,2015,4.42
1324,2014,3.2
1324,2013,3.24
1324,2012,2.62
1324,2011,5.41
1324,2010,4.44
1324,2009,6.28
1324,2008,3.07
1325,24Q1,1.65
1325,2023,0.43
1325,2022,0.43
1325,2021,7.07
1325,2020,61.9
1325,2019,1.83
1325,2018,3.15
1325,2017,2.05
1325,2016,5.44
1325,2015,4.69
1325,2014,2.7
1325,2013,3.42
1325,2012,3.54
1325,2011,5.77
1325,2010,7.57
1325,2009,10.3
1325,2008,8.35
1326,24Q2,1.22
1326,2023,1.37
1326,2022,1.6
1326,2021,7.56
1326,2020,3.98
1326,2019,6.03
1326,2018,9.53
1326,2017,10.8
1326,2016,9.22
1326,2015,6.06
1326,2014,2.65
1326,2013,5.26
1326,2012,1.75
1326,2011,7.2
1326,2010,11.1
1326,2009,7.07
1326,2008,1.68
1337,24Q1,-8.05
1337,2023,-8.53
1337,2022,-9.02
1337,2021,-7.66
1337,2020,-18.6
1337,2019,-8.01
1337,2018,-19.6
1337,2017,1.66
1337,2016,3.63
1337,2015,3.4
1337,2014,9.4
1337,2013,11.2
1337,2012,17.5
1337,2011,24.4
1337,2010,30.2
1338,24Q1,-0.77
1338,2023,-1.52
1338,2022,1.14
1338,2021,3.18
1338,2020,2.81
1338,2019,3.91
1338,2018,4.98
1338,2017,7.71
1338,2016,6.77
1338,2015,8.4
1338,2014,7.45
1338,2013,6.2
1338,2012,5.41
1338,2011,13
1338,2010,15.8
1338,2009,0.49
1339,24Q1,9.92
1339,2023,7.89
1339,2022,7.57
1339,2021,2.47
1339,2020,2.25
1339,2019,6.39
1339,2018,4.43
1339,2017,4.14
1339,2016,5.28
1339,2015,8.31
1339,2014,10.1
1339,2013,7.85
1339,2012,6.31
1339,2011,-
1339,2010,-
1340,24Q1,-9.89
1340,2023,-19.4
1340,2022,-8.65
1340,2021,-9.56
1340,2020,-6.67
1340,2019,-6.79
1340,2018,1.95
1340,2017,12.4
1340,2016,13.7
1340,2015,14.3
1340,2014,19.6
1340,2013,23.6
1340,2012,17.1
1340,2011,29.7
1340,2010,28.8
1341,24Q1,13.9
1341,2023,10.1
1341,2022,12.5
1341,2021,13.3
1341,2020,14.6
1341,2019,12.7
1341,2018,8.04
1341,2017,17.4
1341,2016,30.6
1341,2015,34.4
1342,24Q2,16.1
1342,2023,17
1342,2022,18.5
1342,2021,12.2
1342,2020,11.2
1342,2019,12.7
1342,2018,12.1
1402,24Q1,2.22
1402,2023,2.3
1402,2022,2.06
1402,2021,2.37
1402,2020,2.18
1402,2019,2.88
1402,2018,3.4
1402,2017,2.76
1402,2016,2.46
1402,2015,2.89
1402,2014,3.51
1402,2013,5.14
1402,2012,3.34
1402,2011,5.68
1402,2010,7.1
1402,2009,5.43
1402,2008,3.8
1409,24Q1,1.05
1409,2023,0.62
1409,2022,1.92
1409,2021,2.6
1409,2020,2.2
1409,2019,1.5
1409,2018,1.99
1409,2017,0.82
1409,2016,0.73
1409,2015,0.63
1409,2014,1.36
1409,2013,1.44
1409,2012,1.06
1409,2011,1.62
1409,2010,2.69
1409,2009,1.21
1409,2008,-0.05
1410,24Q1,4.28
1410,2023,0.97
1410,2022,4
1410,2021,6.23
1410,2020,4.54
1410,2019,4.58
1410,2018,7.29
1410,2017,6.64
1410,2016,8.43
1410,2015,8.49
1410,2014,7.04
1410,2013,6.1
1410,2012,7.6
1410,2011,6.28
1410,2010,6.29
1410,2009,-0.6
1410,2008,0.5
1413,24Q2,-2.42
1413,2023,-5.3
1413,2022,3.6
1413,2021,3.82
1413,2020,-5.9
1413,2019,2.69
1413,2018,10.4
1413,2017,5.05
1413,2016,-2.72
1413,2015,0.13
1413,2014,-8
1413,2013,-8.23
1413,2012,-7.49
1413,2011,-3.01
1413,2010,4.09
1413,2009,-7.29
1413,2008,-10.4
1414,24Q2,1.56
1414,2023,0.73
1414,2022,2.3
1414,2021,3.16
1414,2020,1.3
1414,2019,0.8
1414,2018,0.86
1414,2017,1.95
1414,2016,-0.07
1414,2015,0.15
1414,2014,0.99
1414,2013,3.09
1414,2012,2.08
1414,2011,-
1414,2010,-
1414,2009,-
1414,2008,-
1416,24Q1,2.84
1416,2023,2.42
1416,2022,2.3
1416,2021,1.47
1416,2020,-4.79
1416,2019,-1.81
1416,2018,3.07
1416,2017,2.31
1416,2016,10
1416,2015,-0.31
1416,2014,4.71
1416,2013,0.71
1416,2012,13.8
1416,2011,3.15
1416,2010,2.96
1416,2009,0.69
1416,2008,-2.97
1417,24Q2,-2.05
1417,2023,-1.72
1417,2022,2.51
1417,2021,2.74
1417,2020,-9.38
1417,2019,7.41
1417,2018,-5.35
1417,2017,-9.44
1417,2016,-3.11
1417,2015,-6.25
1417,2014,0.47
1417,2013,0.28
1417,2012,2.84
1417,2011,4.54
1417,2010,2.76
1417,2009,1.95
1417,2008,0.99
1418,24Q1,-3.11
1418,2023,0.96
1418,2022,0.59
1418,2021,-5.82
1418,2020,-9.73
1418,2019,-8.36
1418,2018,-10.3
1418,2017,-19.2
1418,2016,-10.1
1418,2015,-9.38
1418,2014,-7.9
1418,2013,-5.78
1418,2012,-8.32
1418,2011,1.92
1418,2010,-1.48
1418,2009,13.5
1418,2008,-15.4
1419,24Q1,1.91
1419,2023,3.68
1419,2022,12.6
1419,2021,3.03
1419,2020,2.75
1419,2019,3.01
1419,2018,2.14
1419,2017,9.44
1419,2016,1.27
1419,2015,0.98
1419,2014,0.94
1419,2013,1.59
1419,2012,1.91
1419,2011,2.72
1419,2010,2.53
1419,2009,1.33
1419,2008,0.11
1423,24Q2,1.73
1423,2023,2.18
1423,2022,2.18
1423,2021,4.56
1423,2020,12
1423,2019,-1.39
1423,2018,3.75
1423,2017,1.63
1423,2016,0.18
1423,2015,-1.26
1423,2014,-2.58
1423,2013,-0.13
1423,2012,-3.51
1423,2011,-
1423,2010,-
1423,2009,-
1423,2008,-
1432,24Q1,-0.1
1432,2023,1.13
1432,2022,-0.75
1432,2021,-3.21
1432,2020,0.3
1432,2019,-15.6
1432,2018,-7.7
1432,2017,-3.17
1432,2016,-2.53
1432,2015,-2.82
1432,2014,-4.64
1432,2013,-4.93
1432,2012,27.4
1432,2011,1.49
1432,2010,38.7
1432,2009,-5.71
1432,2008,-4.92
1434,24Q2,1.23
1434,2023,0.6
1434,2022,4.34
1434,2021,2.67
1434,2020,2.62
1434,2019,6.71
1434,2018,5.67
1434,2017,5.1
1434,2016,4.46
1434,2015,4.16
1434,2014,5.04
1434,2013,2.83
1434,2012,3.21
1434,2011,2.93
1434,2010,5.54
1434,2009,0.17
1434,2008,4.19
1435,24Q2,-1.57
1435,2023,-3.05
1435,2022,-17.5
1435,2021,0.56
1435,2020,-2.06
1435,2019,1.94
1435,2018,-1.14
1435,2017,0.07
1435,2016,-0.55
1435,2015,-0.32
1435,2014,-0.15
1435,2013,-1
1435,2012,0.09
1435,2011,-0.34
1435,2010,27.9
1435,2009,-3.13
1435,2008,-0.06
1436,24Q2,7.41
1436,2023,6.69
1436,2022,4.72
1436,2021,3.84
1436,2020,1.69
1436,2019,2.67
1436,2018,4.73
1436,2017,3.46
1436,2016,0.65
1436,2015,-0.61
1436,2014,6
1436,2013,-0.32
1436,2012,-1.94
1436,2011,23.4
1436,2010,7.09
1436,2009,-0.94
1436,2008,-2.48
1437,24Q1,5.03
1437,2023,4.51
1437,2022,3.32
1437,2021,3.95
1437,2020,3.21
1437,2019,8.4
1437,2018,2.5
1437,2017,3.27
1437,2016,4.61
1437,2015,0.56
1437,2014,2.31
1437,2013,-6.09
1437,2012,0.15
1437,2011,-1.52
1437,2010,2.06
1437,2009,0.68
1437,2008,-3.57
1438,24Q1,-0.37
1438,2023,-0.68
1438,2022,5.53
1438,2021,0.85
1438,2020,3.75
1438,2019,-1.78
1438,2018,-1.98
1438,2017,-0.91
1438,2016,-1.14
1438,2015,1.79
1438,2014,0.6
1438,2013,5
1438,2012,1.72
1438,2011,-
1438,2010,-
1438,2009,-
1438,2008,-
1439,24Q1,3.85
1439,2023,3.85
1439,2022,2.96
1439,2021,4.6
1439,2020,-9.3
1439,2019,39.8
1439,2018,-3.38
1439,2017,-0.33
1439,2016,1.19
1439,2015,0.03
1439,2014,0.03
1439,2013,0.07
1439,2012,-0.37
1439,2011,-
1439,2010,-
1439,2009,-
1439,2008,-
1440,24Q2,-0.48
1440,2023,4.29
1440,2022,2.37
1440,2021,6.12
1440,2020,2.12
1440,2019,0.26
1440,2018,2.44
1440,2017,1.64
1440,2016,1.17
1440,2015,2.86
1440,2014,1
1440,2013,3.49
1440,2012,2.11
1440,2011,1.68
1440,2010,8.38
1440,2009,3.17
1440,2008,-0.78
1441,24Q1,-7.01
1441,2023,-15
1441,2022,-13.1
1441,2021,-6.82
1441,2020,-11
1441,2019,-12.1
1441,2018,30.8
1441,2017,-8.57
1441,2016,-7.05
1441,2015,-2.92
1441,2014,-7.26
1441,2013,-0.52
1441,2012,-2.07
1441,2011,6.33
1441,2010,8.35
1441,2009,-5
1441,2008,-8.08
1442,24Q1,12
1442,2023,10.1
1442,2022,4.21
1442,2021,3.81
1442,2020,0.62
1442,2019,0.89
1442,2018,1.15
1442,2017,4.98
1442,2016,4.13
1442,2015,4.02
1442,2014,3.36
1442,2013,11.5
1442,2012,3.26
1442,2011,10
1442,2010,7.72
1442,2009,9.2
1442,2008,8.89
1443,24Q1,4.77
1443,2023,2.11
1443,2022,2.22
1443,2021,3.38
1443,2020,-1.07
1443,2019,0.06
1443,2018,-13
1443,2017,-6.84
1443,2016,-5.36
1443,2015,-4.23
1443,2014,-4.52
1443,2013,-3.11
1443,2012,-5.7
